0.1
-2.7577,0.87974,-0.20364,0.86747,-0.5184,-0.02646,3.0473
-2.759,0.88176,-0.2067,0.86497,-0.51488,-0.021511,3.0473
-2.7627,0.88761,-0.21556,0.85776,-0.50471,-0.0072078,3.0473
-2.7686,0.89695,-0.22971,0.84623,-0.48847,0.015637,3.0473
-2.7765,0.90944,-0.24865,0.83081,-0.46673,0.04621,3.0473
-2.7863,0.92477,-0.27188,0.81191,-0.44008,0.083698,3.0473
-2.7976,0.94258,-0.29888,0.78992,-0.40908,0.12729,3.0473
-2.8102,0.96256,-0.32916,0.76527,-0.37433,0.17616,3.0473
-2.8241,0.98437,-0.36221,0.73837,-0.3364,0.22951,3.0473
-2.8388,1.0077,-0.39752,0.70961,-0.29586,0.28652,3.0473
-2.8544,1.0321,-0.4346,0.67942,-0.2533,0.34638,3.0473
-2.8704,1.0574,-0.47295,0.64821,-0.2093,0.40827,3.0473
-2.8868,1.0832,-0.51204,0.61638,-0.16442,0.47139,3.0473
-2.9032,1.1092,-0.55139,0.58434,-0.11926,0.5349,3.0473
-2.9196,1.135,-0.59049,0.55251,-0.074388,0.59802,3.0473
-2.9356,1.1603,-0.62883,0.5213,-0.030383,0.65991,3.0473
-2.9512,1.1848,-0.66591,0.49111,0.012177,0.71977,3.0473
-2.9659,1.2081,-0.70123,0.46236,0.052712,0.77678,3.0473
-2.9798,1.2299,-0.73428,0.43545,0.090644,0.83013,3.0473
-2.9924,1.2499,-0.76455,0.4108,0.12539,0.879,3.0473
-3.0037,1.2677,-0.79156,0.38881,0.15638,0.92259,3.0473
-3.0135,1.283,-0.81478,0.36991,0.18304,0.96008,3.0473
-3.0214,1.2955,-0.83372,0.35449,0.20477,0.99065,3.0473
-3.0273,1.3048,-0.84787,0.34297,0.22102,1.0135,3.0473
-3.031,1.3107,-0.85673,0.33575,0.23118,1.0278,3.0473
-3.0323,1.3127,-0.8598,0.33326,0.2347,1.0328,3.0473
-3.0323,1.3127,-0.8598,0.33326,0.2347,1.0328,3.0473
-3.031,1.3107,-0.85673,0.33575,0.23118,1.0278,3.0473
-3.0273,1.3048,-0.84787,0.34297,0.221,1.0135,3.0473
-3.0214,1.2955,-0.83372,0.35449,0.20476,0.99065,3.0473
-3.0135,1.283,-0.81478,0.36991,0.18302,0.96008,3.0473
-3.0037,1.2677,-0.79156,0.38881,0.15636,0.92259,3.0473
-2.9924,1.2499,-0.76455,0.4108,0.12536,0.879,3.0473
-2.9798,1.2299,-0.73428,0.43545,0.090608,0.83013,3.0473
-2.9659,1.2081,-0.70123,0.46236,0.052672,0.77678,3.0473
-2.9512,1.1848,-0.66591,0.49111,0.012132,0.71977,3.0473
-2.9356,1.1603,-0.62883,0.5213,-0.030431,0.65991,3.0473
-2.9196,1.135,-0.59049,0.55251,-0.074441,0.59802,3.0473
-2.9032,1.1092,-0.55139,0.58434,-0.11932,0.5349,3.0473
-2.8868,1.0832,-0.51204,0.61638,-0.16448,0.47138,3.0473
-2.8704,1.0574,-0.47295,0.64821,-0.20936,0.40827,3.0473
-2.8544,1.0321,-0.4346,0.67942,-0.25337,0.34638,3.0473
-2.8388,1.0077,-0.39752,0.70961,-0.29593,0.28652,3.0473
-2.8241,0.98437,-0.36221,0.73837,-0.33647,0.22951,3.0473
-2.8102,0.96256,-0.32916,0.76527,-0.37441,0.17616,3.0473
-2.7976,0.94258,-0.29888,0.78992,-0.40916,0.12729,3.0473
-2.7863,0.92477,-0.27188,0.81191,-0.44016,0.083697,3.0473
-2.7765,0.90944,-0.24865,0.83081,-0.46681,0.046209,3.0473
-2.7686,0.89695,-0.22971,0.84623,-0.48855,0.015636,3.0473
-2.7627,0.88761,-0.21556,0.85776,-0.5048,-0.007209,3.0473
-2.759,0.88176,-0.2067,0.86497,-0.51497,-0.021513,3.0473
-2.7577,0.87974,-0.20364,0.86747,-0.51849,-0.026461,3.0473
